Seq,Occupation,Definition,Industry,Future Skill? ,Career Pathway,Competencies,Core Skills,Certifications (Govt offers),Certifications (External),Technologies,Soft Skills,Source,ANZSCO,ESCO Code,One Net Code
11,Human Resource Managers,"Human resources managers plan, coordinate, and direct the administrative functions of an organization, overseeing recruiting, interviewing, and hiring of new staff; consulting with top executives on strategic planning; and serving as a link between management and employees.",General Category,TBC,"Human Resources Assistant, HR Generalist, Senior HRBP, Head of HR, CHRO","Determining, implementing, monitoring, reviewing and evaluating human resource management strategies, policies and plans to meet business needs,Advising and assisting other managers in applying sound recruitment and selection practices, and appropriate induction, training and development programs,Developing and implementing performance management systems to plan, appraise and improve individual and team performance,Representing the organisation in negotiations with unions and employees to determine remuneration and other conditions of employment,Developing and implementing occupational health and safety programs and equal employment opportunity programs, and ensuring compliance with related statutory requirements,Overseeing the application of redundancy and other employee retrenchment policies,Monitoring employment costs and productivity levels,May train and advise other managers in personnel and workplace relations matters","People Analytics, Artificial Intelligence for HR, HR strategy creation & execution, Performance management, Workforce analytics","Advanced diploma,Diploma","SHRM Certified Professional (SHRM-CP), SHRM Senior Certified Professional (SHRM-SCP), Global Professional in Human Resources (GPHR), Professional in Human Resources (PHR), Certified HR Practitioner (CPHR), BSB40420 Certificate IV in Human Resource Management, Diploma of Human Resource Management","HRIS platforms (e.g., SAP SuccessFactors), Payroll systems, Microsoft Excel, ATS tools (e.g., Workday), Employee engagement platforms","Communication and Interpersonal Skills, Critical Thinking and Problem-Solving, Ethical Judgment and Integrity, Organizational and Time Management Skills, Active listening",JSA,132311,1324.8.3,11-9121.02
12,Policy and Planning Managers,"Policy and Planning Managers plan, organise, direct, control and coordinate policy advice and strategic planning within organisations.",Public Administration and Safety,TBC,"Research Assistant, Policy Analyst, Policy Manager, Development Director, Chief Executive and Managing Director","Developing, implementing and monitoring strategic plans, programs, policies, processes, systems and procedures to achieve goals, objectives and work standards,Developing, implementing, administering and participating in policy research and analysis,Coordinating the implementation of policies and practices,Establishing activity measures and measurements of accountability,Overseeing and participating in the development of policy documents and reports,Consulting with and providing expert advice to government officials and board members on policy, program and legislative issues,Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums convened to discuss policy issues","Data Analysis, Project Management, Policy Development, Research, Spatial Analysis Skills",Advanced diploma,"Master of Public Policy (MPP), Certified Public Policy Analyst (CPPA), Graduate Certificate in Public Policy, Chartered Policy Analyst (ChPA), Strategic Management Professional (SMP), Strategic Planning Professional (SPP), Certified Manager (CM)","Geographic Information Systems (GIS), Policy analysis software, Statistical analysis software, Project management software, Data visualization tools, Risk assessment software, Database management systems","Communication, Problem Solving, Leadership, Critical Thinking, Adaptability",JSA,132411,2422.12.11,19-2041.01
13,Research and Development Managers,Research and Development Managers manage and direct R&D programs to meet organizational needs and develop potential new products.,General Category,TBC,"Research Assistant/Technician, Entry Level Research and Development, Research and Development Manager, Director of R&D, Vice President of R&D","Determining, implementing and monitoring research and development strategies, policies and plans,Developing and implementing research projects, priorities and targets to support commercial and policy developments,Leading major research projects and coordinating activities of other research workers,Assessing the benefits and monitoring the costs and effectiveness of research and development activities,Interpreting results of research projects and recommending associated product and service development innovations,Providing advice on research and development options available to the organisation,Monitoring leading-edge developments in relevant disciplines and assessing implications for the organisation,May publish results of significant research projects","Data analysis, Business Process Design, Financial management, Qualitative Research, Product Development Best Practices: Research, Identification, And Application",Graduate certificate,"Six Sigma Green Belt, Project Management Professional (PMP), Certified Manager Certification (CM), Master Project Manager (MPM), R&D Management Professional Certification, NSF-IFSEA HACCP Manager (HACCP), Certified Security Supervision & Management (CSS)","Project and Task Management, Data Analysis and Reporting, Collaboration and Communication, Intellectual Property Management, Scientific Literature and Research Databases, Prototyping and Simulation","Problem-solving, Conflict Resolution, Strategic Thinking, Adaptability, Communication",JSA,132511,1223.2,15-2031.00
14,Construction Managers,"Construction managers oversee building projects, ensuring they are completed safely, on time, and within budget.",Construction,TBC,"Field Engineer, Project Engineer, Construction Manager, Senior Construction Manager, Director of Construction","Interpreting architectural drawings and specifications,Coordinating labour resources, and procurement and delivery of materials, plant and equipment,Consulting with architects, engineering professionals and other professionals, and technical and trades workers,Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget,Preparing tenders and contract bids,Operating and implementing coordinated work programs for sites,Ensuring adherence to building legislation and standards of performance, quality, cost and safety,Arranging submission of plans to local authorities,Building under contract, or subcontracting specialised building services,Overseeing the standard and progress of subcontractors' work,Arranging building inspections by local authorities","Project Planning and Scheduling, Budgeting and Cost Control, Construction Technology and Software Proficiency, Safety and Compliance Knowledge, Reading Blueprints and Plans","Advanced diploma,Diploma,Certificate IV","Project Management Professional (PMP), Certified Construction Manager (CCM), LEED Green Associate or AP, Chartered Building Surveyor (MRICS), Diploma of Project Management (Australia), Certificate IV in Building and Construction (Building) (Australia)","Building Information Modeling (BIM), Artificial Intelligence (AI), Robotics, Drones, Virtual Reality (VR), Augmented Reality (AR), Green Building Technologies","Communication, leadership, problem-solving, teamwork, adaptability",JSA,133111,2142.1.2,11-9021.00
15,Engineering Managers,"Engineering Managers lead teams and oversee the design, implementation, and refinement of product development and manufacturing processes, while also managing staff, resource allocation, and project logistics.","Professional, Scientific and Technical Services",TBC,"Junior Software Engineer/IT Support Specialist/Operations Analyst, Mid-Level Engineer/Senior Engineer, Engineering Project Manager/Lead Process Engineer, Vice President of Engineering/Chief Technology Officer/Distinguished Engineer","Determining, implementing and monitoring engineering strategies, policies and plans,Interpreting plans, drawings and specifications, and providing advice on engineering methods and procedures to achieve construction and production requirements,Establishing project schedules and budgets,Ensuring conformity with specifications and plans, and with laws, regulations and safety standards,Ensuring engineering standards of quality, cost, safety, timeliness and performance are observed,Overseeing maintenance requirements to optimise efficiency,Liaising with marketing, research and manufacturing managers regarding engineering aspects of new construction and product design,May contribute to research and development projects","Technical Acumen, Proficiency in programming languages, Process development, Budget setting, Project Management",Not Found,"PMP, Certified Engineering Manager (CEM), Agile Certifications (CSM, SAFe)","Project Management Tools, Version Control Systems, CI/CD Tools, Technical Documentation Software, Performance Monitoring Tools, Team Communication Platforms, Code Collaboration Tools","Leadership, Communication, Problem Solving, Teamwork, Critical Thinking",JSA,133211,3112.8,25-1032.00
16,"Importers, Exporters and Wholesalers","They plan, organize, direct, control, and coordinate the operations of importing, exporting, and wholesaling establishments.",Wholesale Trade,TBC,"Import/Export Assistant, Coordinator, Manager, Director","Identifying local and overseas business opportunities,Developing and implementing business plans, and marketing, operating, human resource, pricing and credit policies and procedures,Determining the mix of products and services to be provided and negotiating conditions of trade,Liaising with local and overseas suppliers and distributors about orders and products,Researching regulatory and statutory requirements affecting the importing, exporting, wholesaling and distribution of goods,Monitoring business performance and preparing estimates, financial statements and reports of operations,Appointing agents and distributors,Arranging the shipping of goods into and out of the country,Overseeing the display and sale of merchandise and preparation of product information for customer service staff and customers,Implementing after-sales service procedures","Logistics, Import Export, Data Entry, Export Compliance, Regulatory Compliance",Not Found,"International Import Certificate, Non-transfer and End-use Certificate, Certificate of Origin, International Trade Certification, Professional Import Certification, Customs Broker's Licence","Global Trade Management Software, Advanced Analytics, Artificial Intelligence (AI), Blockchain, Demand-planning technology, Internet of Things (IOT), Inventory Management Software","Strong Communication Skills, Customer Service, Teamwork and Collaboration, Critical Thinking or Problem-Solving, Professionalism or Work Ethic",JSA,Not Found,Not Found,Not Found
17,Manufacturers,Manufacturing workers transform raw materials into finished goods through automated and hands-on processes.,Manufacturing,TBC,Production Assistant > Production Supervisor > Manufacturing Manager > Plant Operations Manager > Director of Manufacturing,"Identifying business opportunities, devising new manufacturing processes and determining products to be manufactured,Developing business plans and implementing operational, marketing, human resource and pricing procedures,Researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment,Directing the activities of production, warehouse, distribution and other operating units,Maintaining quality control systems for manufacturing, waste disposal, delivery and other procedures,Coordinating orders for raw materials, supplies and equipment, and arranging packaging, delivery and wholesaling of products,Overseeing the coordination of after-sales service,Overseeing the provision of quotes for the manufacture of specialised goods and arranging contracts with customers,May devise and oversee the implementation of production run schedules","Mechanical and technical skills, Software skills, Data analytics and visualization, Digital simulation, Manual dexterity",Not Found,"ISO 9001, Certified Manufacturing Associate (CMfgA), ISO 14001, Certified Manufacturing Technologist (CMfgT), AS 9100, Certified Manufacturing Engineer (CMfgE), Lean Certification","CNC Machining, Forging, Plasma Cutting, IoT Connections, Simulation Software, Real-Time Location Systems, Smart Manufacturing Platforms","Communication, Interpersonal Skills, Timeliness, Adaptability/Problem Solving, Attention to Detail",JSA,Not Found,8160.53,Not Found
18,Production Managers,"A production manager manages the production process and ensures the company's manufacturing goals are met by successfully overseeing inputs such as time, staffing, efficiency, materials, and costs.",Mining,TBC,"Production control managers, Plant superintendents, Plant managers, Plant chiefs, Manufacturing directors","Determining, implementing and monitoring production strategies, policies and plans,Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements,Controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools,Monitoring production output and costs, and adjusting processes and resources to minimise costs,Informing other managers about production matters,Overseeing the acquisition and installation of new plant and equipment,Directing research into production methods, and recommending and implementing initiatives,Controlling the preparation of production records and reports,Coordinating the implementation of occupational health and safety requirements,Directing staff activities and monitoring their performance","Planning the workflow, Providing up-to-date information, Research and analytical, Problem-solving, Financial skills","Graduate diploma,Advanced diploma,Diploma,Certificate IV","Certified Production and Inventory Management (CPIM), Project Management Professional (PMP), Certified Supply Chain Professional (CSCP), Diploma of Process Plant Technology (PMA50116), Diploma of Production Management (MSM50316)","Manufacturing Operations Management (MOM) software, Manufacturing Execution Systems (MES), Quality Management Systems (QMS), Resource Planning and Scheduling software, Inventory Management software, Production Monitoring and Analytics software, Workflow Automation and Integration tools","Leadership and Team Management, Communication and Interpersonal Skills, Problem-Solving and Decision-Making, Adaptability and Flexibility",JSA,133511,2141.4.2,51-9199.00
19,"Supply, Distribution and Procurement Managers","Supply, Distribution and Procurement Managers plan, organise, direct, control and coordinate the supply, storage and distribution of goods, products and services produced and used by organisations.","Transport, Postal and Warehousing",TBC,"Purchasing Assistant, Junior Buyer, Senior Buyer, Purchasing Manager, Head of Procurement","Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans,Preparing and implementing plans to maintain required stock levels at minimum cost,Negotiating contracts with suppliers to meet quality, cost and delivery requirements,Monitoring and reviewing storage and inventory systems to meet supply requirements and control stock levels,Operating recording systems to track all movements of supplies and finished goods, and ensuring re-ordering and re-stocking at optimal times,Liaising with other departments and customers concerning requirements for outward goods and associated forwarding transportation,Overseeing the recording of purchase, storage and distribution transactions,Directing staff activities and monitoring their performance","Data Analysis, Technological Proficiency, ERP System knowledge, Project Management, Purchase forecasting",Not Found,"APICS Certifications, Global Supply Chain Management Graduate Certificate (Purdue), Supply Chain Procurement Certificate (ASCM), Certificate I/II/III/IV, Diploma, Advanced Diploma","Supply Chain Management (SCM) Software, Warehouse Management Systems (WMS), Demand Forecasting Software, Enterprise Resource Planning (ERP) Systems, Artificial Intelligence (AI) and Machine Learning, Transportation Management Systems (TMS), Inventory Management Systems","Great relationship management, strong negotiation skills, strategic thinking, adaptability, effective communication",JSA,133611,1324.3.1,43-3061.00
20,Child Care Centre Managers,"Child Care Centre Managers plan, organise, direct, control and coordinate the activities of childcare centres and services, including physical and human resources.",Health Care and Social Assistance,TBC,"Staff Aide, Assistant Teacher, Early Childhood Teacher, Program Administrator/Child Care Center Director","Developing and implementing programs to enhance the physical, social, emotional and intellectual development of young children,Providing care for children in before-school, after-school, day, and vacation care centres,Directing and supervising child carers in providing care and supervision for young children,Ensuring the centre is a safe area for children, staff and visitors,Complying with relevant government requirements and standards,Liaising with parents,Maintaining records and accounts for the centre,Recruiting staff and coordinating professional development","Budgeting principles and practices, Early childhood development principles and practices, Records maintenance principles and practices, Curriculum Development and Educational Programming, Health and Safety Regulations Compliance",Not Found,"Director's Credential, Certified Preschool Director, Child Development Associate (CDA), Certified Childcare Professional (CCP), Certified Child Care Manager (CCCM), Approved Early Childhood Teaching Qualification, Child Care Center Management College Credit Certificate (CCC)","Spreadsheets, bookkeeping programs, childcare management software, children's learning tools, interactive educational applications, computer-based activity systems, digital paintbrushes","Emotional Intelligence and Empathy, Communication and Active Listening, Leadership and Team Management, Conflict Resolution, Problem-solving",JSA,421111,1341.2,39-9099.00
21,Health and Welfare Services Managers,"Health and Welfare Services Managers plan, organise, direct, control and coordinate the professional and administrative aspects of health and welfare programs and services.",Health Care and Social Assistance,TBC,"Case Manager, Program Coordinator, Health and Welfare Services Manager, Director of Social Services, Executive Director","Providing overall direction and management for the service, facility, organisation or centre,Developing, implementing and monitoring procedures, policies and standards for medical, nursing, allied health and administrative staff,Coordinating and administering health and welfare programs and clinical services,Monitoring and evaluating resources devoted to health, welfare, recreation, housing, employment, training and other community facilities and centres,Controlling administrative operations such as budget planning, report preparation, expenditure on supplies, equipment and services,Liaising with other health and welfare providers, boards and funding bodies to discuss areas of health and welfare service cooperation and coordination,Advising government bodies about measures to improve health and welfare services and facilities,Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums,Controlling selection, training and supervision of staff","Data analysis, Financial management, Strategic planning, Bookkeeping, Computer programming languages","Advanced diploma,Diploma,Non-AQF level","Certified Health Executive (CHE), Certified Professional in Healthcare Quality (CPHQ), Project Management Professional (PMP), Master Certified Health Education Specialist (MCHES), Certified Public Manager (CPM), Leadership in Health Management (LHM) Certificate, Graduate Certificate in Health Services Management","Electronic Health Records (EHR) platforms, AI, predictive analytics, virtual health, social care management software, telemedicine, case management software","Communication, Leadership, Conflict Resolution, Teamwork and Collaboration, Decision-Making",JSA,134213,2635.3.10,11-9111.00
